Symbol,Oct_2019,Nov_2019,Dec_2019,Jan_2020,Feb_2020,Mar_2020,Apr_2020,May_2020,Jun_2020,Jul_2020,Aug_2020,Sep_2020
ADANIPORTS,395.8,382.05,366,369.4,342.2,251.3,290.1,323.8,343.9,315.2,355.75,341.75
ASIANPAINT,1809.6,1706.15,1784.95,1795.65,1797.95,1666.5,1758.7,1683.1,1687.45,1715.5,1899.1,1986.4
AXISBANK,736.35,739.05,754.1,729.3,697.3,379,444.9,384.95,406.65,431.65,496.75,424.65
BAJAJ-AUTO,324,3176,3185,3180.05,2890,2022.35,2623.3,2710.5,2826.05,3004.95,2967,2881.1
BAJAJFINSV,8134.35,9110.25,9393.35,9441.4,9050.75,4591.2,5104.35,4404.9,5845.15,6205.9,6190.35,5852.35
BAJFINANCE,4027.55,4074.2,4234.75,4365.9,4465.85,2215.8,2318.1,1953.65,2831,3251.3,3487.8,3278.6
BHARTIARTL,374.25,442.45,455.8,496.45,523.5,440.9,514.3,552.6,559.85,554.85,513.1,420.95
BPCL,526.6,511.55,491.55,456.95,426.35,316.9,370,342.8,374,413.8,407.8,353.05
BRITANNIA,3266.6,3057.7,3027.8,3200.7,2970.2,2688.95,3165.75,3378.85,3603.8,3823.6,3726.05,3798.15
CIPLA,466.85,466.7,478.2,446.9,402.1,422.85,589.6,648.15,640.25,720.15,713.55,774.7
COALINDIA,207.55,205.25,211.35,181.7,168.4,140.05,148.5,141.3,132.85,129.25,134.35,116
DIVISLAB,1755.05,1786.2,1845.8,1952.3,2106.95,1989.05,2332.9,2390.1,2278.9,2616.55,3122.8,3047.95
DRREDDY,2783.2,2913.85,2874.55,3114.5,2927.1,3120.75,3936.3,4071.25,3944.95,4521.05,4264.7,5187.8
EICHERMOT,2253.81,2288.14,2251.53,2028.93,1660.24,1309.59,1470.8,1654.85,1833.43,2063.87,2092,2202.8
GAIL,137.35,126.05,121.05,120.45,104.4,76.55,95.7,92.35,102.15,96.65,95.65,86.8
GRASIM,768.75,787.05,743.65,778.9,687.2,476.1,504.9,589.2,619.7,633.05,674.85,744.2
HCLTECH,581.38,563.83,568.1,591.4,534.35,436.4,543.55,550.25,556.85,705.2,694.4,811.6
HDFC,2131.9,2297.25,2412.55,2414,2175.75,1633.1,1916,1658.9,1754.65,1781.95,1832.6,1740.05
HDFCBANK,1230.35,1274.95,1272.1,1226.3,1177.65,861.9,1001.8,951.65,1065.85,1032.8,1115.85,1078.6
HDFCLIFE,626.2,571.5,626.05,599.2,544.1,441.35,501.05,523.2,549,627.1,574.8,559.4
HEROMOTOCO,2704.2,2433.55,2443.05,2501.85,2051.75,1596.45,2166.7,2360.85,2546.95,2676.5,3006.05,3147.3
HINDALCO,187.9,200.15,216.15,189.35,155.9,95.7,130.2,138.85,146.2,163.1,185.25,175.25
HINDUNILVR,2175.35,2035.3,1923,2034.25,2174.75,2298.5,2195,2057.35,2180,2209.9,2117.35,2068.25
ICICIBANK,463.05,512.6,538.9,525.65,497.25,323.75,380.15,331.95,351.45,346.8,394.6,354.75
INDUSINDBK,1313.2,1569.1,1510,1258.85,1104.05,351.3,468.15,393.65,474.8,523.75,630.2,527.4
INFY,685.6,696.35,731.15,775.95,731.7,641.5,715.5,691,735.95,966,928.6,1008.25
IOC,146.8,131.4,125.55,113.45,105.75,81.65,84.2,83.2,85.35,88.45,85.8,73.9
ITC,257.65,246.4,237.7,235.15,197.55,171.7,182.05,197.35,194.65,194.15,191.1,171.7
