Symbol,CoE,E,CoD,D,TR,WACC,UFCF-16,UFCF-17,UFCF-18,UFCF-19,UFCF-20,UFCF-21,UFCF-22,UFCF-23,UFCF-24,UFCF-25,TV
ADANIPORTS,9.35,248784.9,3.85,375039.3,15.0,,-8619.09,-12133.22,-13285.83,-17060.99,-18167.19,-17760.42,-18459.43,-19232.17,-20080.52,-20972.16,115562.57
ASIANPAINT,6.75,100707.7,7.05,64071.2,26.0,,2861.45,4226.05,3537.74,4310.45,6708.14,7101.56,7498.28,7929.73,8397.22,8895.89,231387.73
AXISBANK,10.3,849695.4,3.7,7363071.2,17.0,,-349749.69,-400610.38,-464549.99,-538997.23,-654645.88,-683106.87,-708588.33,-736878.17,-767543.47,-800178.0,1193362.37
BAJAJ-AUTO,8.5,236715.0,3.35,49878.7,26.0,7.452106579104845,2683.97,3544.74,4509.04,3651.92,5185.56,5733.66,6187.93,6682.45,7213.33,7794.23,90141.8
BAJAJFINSV,12.0,260546.1,7.05,2103549.0,26.0,,-78.1,52.08,89.24,165.01,578.19,473.26,500.12,536.35,581.95,636.25,123018.15
BAJFINANCE,7.7,220906.4,3.35,1241844.4,26.0,,-38962.71,-41637.07,-59004.46,-85251.09,-102487.17,-107991.01,-112003.92,-116698.57,-121946.25,-127535.75,340093.86
BHARTIARTL,8.35,699833.0,3.35,2656393.0,26.0,,-11042.7,-6124.7,9606.5,-13152.9,11299.5,34051.87,34873.83,35666.32,36519.01,37678.01,311971.24
BPCL,9.9,404670.7,3.35,1045295.9,26.0,,7965.53,8550.16,10544.01,7931.55,-1650.7,11788.51,12799.87,13747.48,14647.94,15526.55,165941.11
BRITANNIA,6.75,36177.4,3.35,32890.7,26.0,,522.86,-423.59,-240.03,-38.75,587.38,792.56,871.48,967.43,1077.06,1200.74,96715.56
CIPLA,3.35,155963.4,3.6,85497.3,21.0,,-3298.21,-3447.65,-3301.68,-3278.39,-3378.41,-2857.87,-2930.45,-2989.95,-3038.76,-3076.77,55110.79
COALINDIA,9.3,340479.7,8.5,1058286.7,26.0,,12479.64,12380.52,8839.15,9464.1,7281.48,5199.99,5944.74,6657.34,7413.1,8215.15,139057.98
DIVISLAB,6.2,70775.5,3.4,9931.6,25.0,5.750840756265558,-949.75,-1047.49,-1252.67,-1674.16,-2413.48,-1410.21,-1404.82,-1399.24,-1387.44,-1371.66,75523.27
DRREDDY,7.0,154116.0,3.75,79026.0,17.0,,-5936.1,-4638.9,-4975.0,-3155.3,-2962.8,-2884.1,-3006.95,-3113.43,-3190.19,-3260.15,77607.3
EICHERMOT,8.4,95313.7,3.35,24646.4,26.0,,1021.41,2002.05,1679.53,-250.86,-114.53,616.04,774.74,918.35,1045.86,1178.61,53470.68
GAIL,7.65,474264.0,3.35,228339.3,26.0,5.969474844054959,3822.83,5229.43,6393.92,5918.67,5925.01,9321.14,10037.65,10822.72,11651.28,12484.7,62786.28
GRASIM,16.05,570555.8,7.05,1890388.0,26.0,,-1530.51,1292.26,-2394.03,908.82,-231.17,2041.76,2220.25,2406.95,2593.39,2775.84,57889.93
HCLTECH,8.25,479227.5,7.6,306567.47,20.0,,-9177.38,-10953.64,-5613.0,-5734.0,-5927.0,3284.72,3657.01,4191.7,4867.97,5715.05,177351.29
HDFC,10.65,1253262.7,3.6,5703863.6,21.0,,-142318.19,-182424.47,-319164.21,-357871.04,-390571.67,-410435.37,-425538.47,-442816.25,-461058.63,-480050.78,1018864.57
HDFCBANK,9.2,1605834.5,3.3,12138370.5,26.0,,-451349.84,-527674.82,-699919.28,-805202.85,-960274.91,-1019170.68,-1056827.88,-1099168.92,-1144869.42,-1193339.42,2518345.57
HDFCLIFE,10.6,63478.5,3.6,1297213.7,21.0,,26564.74,35336.9,102520.34,121514.21,122054.8,125904.37,131016.37,137091.76,143519.53,150174.21,126941.98
HEROMOTOCO,8.7,144695.3,7.0,62012.7,26.0,,3081.38,3603.87,4320.57,1477.89,2224.6,4165.3,4516.58,4869.8,5222.39,5609.33,51303.84
HINDALCO,18.9,567410.0,3.8,954340.0,15.0,,-3545.43,-1496.09,-3959.31,-4602.41,-7031.4,-6000.48,-6094.06,-6249.27,-6444.9,-6659.1,65071.56
HINDUNILVR,6.2,80330.0,7.0,126230.0,26.0,,3620.54,4860.0,5582.0,6153.0,5226.0,6812.83,7434.59,8102.87,8822.73,9594.1,700295.93
ICICIBANK,10.5,1172765.9,3.6,11709131.3,20.0,,173481.91,-511034.63,-582168.92,-651560.67,-724649.55,-923220.26,-953433.36,-986194.23,-1021041.27,-1057584.57,1626697.24
INDUSINDBK,12.5,335381.3,3.3,2613951.6,26.0,,-90457.59,-119412.27,-147793.22,-188446.37,-210015.81,-222213.7,-230423.99,-239595.2,-249532.32,-259932.93,409675.15
INFY,7.9,608560.0,7.0,255930.0,26.0,,-49121.0,-55028.0,-49170.0,-52008.0,-53374.0,-51749.23,-53548.04,-55306.08,-57078.22,-58872.7,430232.73
IOC,15.8,1128540.4,3.3,2207807.0,26.0,,-161441.8,-215147.67,-221258.74,-254946.37,-249191.11,-244067.5,-254629.09,-265780.97,-277530.14,-289721.49,1146414.3
ITC,7.0,584872.4,8.5,132099.9,26.0,,-39049.06,-43659.08,-51533.98,-56369.03,-59204.68,-59366.6,-61320.42,-63438.29,-65653.72,-67935.97,965497.15
JSWSTEEL,8.9,369330.0,7.0,369330.0,26.0,,-37592.03,-43299.75,-44329.0,-68656.0,-75802.0,-69068.15,-71503.15,-74193.79,-77160.95,-80311.4,600193.39
KOTAKBANK,7.5,625654.2,3.3,3377767.6,26.0,,-23481.65,-18020.67,-84748.47,-69902.42,-51273.28,-55018.57,-57194.54,-59680.12,-61828.74,-63814.49,313391.31
LT,12.6,632610.1,3.3,2230598.2,26.0,,-43463.29,-47713.23,-48908.22,-49094.29,-51818.56,-54725.08,-56954.93,-59259.2,-61654.75,-64183.08,364019.35
M&M,15.7,411638.3,7.0,1256220.5,26.0,,-22986.67,-27733.05,-31235.62,-34937.25,-37973.99,-35910.37,-37337.27,-38861.88,-40478.89,-42167.41,296200.33
MARUTI,8.2,466721.0,8.5,150417.0,26.0,,-26483.1,-31612.7,-36800.4,-42728.1,-45584.5,-44371.37,-46025.56,-47871.32,-49880.44,-52005.87,935100.13
NESTLEIND,7.6,19188.7,7.0,52540.7,26.0,,-35107.66,-44655.85,-44108.33,-31819.35,-27746.64,-12757.72,-13582.85,-14329.53,-14980.2,-15659.51,268003.77
NTPC,14.0,1132197.1,3.8,2248210.4,15.0,,-123627.85,-94031.2,-232311.63,-227684.49,-270774.92,-213352.74,-222683.11,-232879.48,-243883.37,-255478.31,3036432.95
ONGC,13.4,2260922.5,3.3,2884938.5,26.0,,-194896.12,-220482.38,-235661.63,-230767.36,-239401.72,-230544.44,-240692.32,-251247.22,-262210.21,-273706.94,3786356.44
POWERGRID,11.7,625412.2,3.6,1894130.7,19.0,,-154614.61,-163708.17,-177941.4,-196865.58,-199400.63,-195075.15,-203352.37,-212156.25,-221430.11,-231052.34,1796103.48
